,type,price,deposit,private_owner,floor_built,floor_area,floor,year_built,orientation,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,garden_area,district,subdistrict,postalcode,last_update,Street,latitude,longitude
7313,Flat,3375,,False,140,,1st,,,2,2,True,True,False,True,True,True,True,False,False,False,False,False,Centro,Huertas-Cortes,28014.0,20 September,,,
7314,Flat,3105,,False,102,,3rd,,,2,2,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Lavapiés-Embajadores,28012.0,5 May,Calle de Atocha,40.4120613,-3.6986154
7315,Flat,4920,,False,137,,4th,,,4,3,True,True,False,True,True,True,True,False,False,False,False,False,Centro,Chueca-Justicia,28004.0,6 May,18,40.422442,-3.6935958
7316,Flat,3105,,False,88,,4th,,,2,3,True,True,False,True,True,True,True,False,False,False,False,False,Centro,Chueca-Justicia,28004.0,9 June,49,40.4242906,-3.6955591
7317,Flat,2610,,False,54,,3rd,,,2,1,True,True,False,True,True,True,True,False,False,False,False,False,Centro,Huertas-Cortes,28012.0,21 September,,,
7318,Flat,5400,1.0,False,166,124.0,2nd,,north,2,1,True,True,False,True,True,False,False,False,True,False,False,False,Centro,Lavapiés-Embajadores,28005.0,18 November,Calle de Toledo,40.413482,-3.7074279
7319,Flat,3600,1.0,False,130,,4th,,east,2,2,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Chueca-Justicia,28004.0,25 October,,,
7320,Penthouse,5500,1.0,False,250,,5th,,north,2,2,True,True,False,True,True,True,True,True,True,False,False,False,Centro,Chueca-Justicia,28004.0,7 November,,,
7321,Flat,4250,1.0,False,210,195.0,1st,,south,3,3,True,True,False,True,True,True,True,True,True,False,False,False,Centro,Chueca-Justicia,28004.0,7 November,,,
7322,Flat,2970,,False,60,,3rd,,,1,1,True,True,False,True,True,False,True,True,False,False,False,False,Centro,Chueca-Justicia,28004.0,1 July,10,40.4247636,-3.6957959
7323,Flat,4500,,False,204,,4th,,,3,3,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Huertas-Cortes,28014.0,12 January,,,
7324,Flat,3780,,False,117,,5th,,,2,2,True,True,False,True,True,True,True,False,False,False,False,False,Centro,Huertas-Cortes,28014.0,23 November,,,
7325,Studio,1881,1.0,False,35,,2nd,,,0,1,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Malasaña-Universidad,nan,4 November,Calle de Manuela Malasaña,40.4286709,-3.7037553
7326,Flat,5910,,False,170,,2nd,,,4,3,True,True,False,True,True,True,True,False,False,False,False,False,Centro,Chueca-Justicia,28004.0,6 May,18,40.422442,-3.6935958
7327,Penthouse,4200,,False,105,,5th,,,3,3,True,True,False,True,True,True,True,False,False,False,False,False,Centro,Chueca-Justicia,28004.0,24 May,18,40.422442,-3.6935958
7328,Flat,4200,,False,93,,5th,,,3,2,True,True,False,True,True,True,True,False,False,False,False,False,Centro,Chueca-Justicia,28004.0,6 May,18,40.422442,-3.6935958
7329,Studio,1200,3.0,True,42,,2nd,,,0,1,True,True,False,True,True,False,True,False,True,False,False,False,Centro,Lavapiés-Embajadores,28012.0,6 November,,,
7330,Flat,2700,1.0,False,84,,3rd,,,1,2,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Chueca-Justicia,28004.0,15 December,13,40.4213691,-3.6927188
